iter	Passed	Remaining
0	1	105
1	1	92
2	2	96
3	3	91
4	4	87
5	5	84
6	6	85
7	7	85
8	8	87
9	9	89
10	11	90
11	12	89
12	12	86
13	13	84
14	14	81
15	15	79
16	15	76
17	16	75
18	17	73
19	17	71
20	18	69
21	19	67
22	19	66
23	20	65
24	21	65
25	22	65
26	23	63
27	24	62
28	25	61
29	25	60
30	26	58
31	27	57
32	27	56
33	28	55
34	28	53
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	32	47
41	33	46
42	34	45
43	34	44
44	36	44
45	37	43
46	37	42
47	38	42
48	39	41
49	40	40
50	40	39
51	41	38
52	42	37
53	42	36
54	43	35
55	44	34
56	45	34
57	45	33
58	46	32
59	47	31
60	47	30
61	48	29
62	49	28
63	50	28
64	51	27
65	52	27
66	53	26
67	54	25
68	54	24
69	55	23
70	56	23
71	57	22
72	57	21
73	58	20
74	59	19
75	59	18
76	60	18
77	61	17
78	61	16
79	62	15
80	63	14
81	63	14
82	64	13
83	65	12
84	66	11
85	67	10
86	68	10
87	68	9
88	69	8
89	70	7
90	71	7
91	71	6
92	72	5
93	73	4
94	73	3
95	74	3
96	75	2
97	75	1
98	76	0
99	77	0
