iter	Passed	Remaining
0	12	12245
1	12	6450
2	13	4568
3	14	3649
4	15	3079
5	16	2663
6	16	2379
7	17	2151
8	17	1981
9	18	1867
10	19	1774
11	20	1688
12	21	1626
13	22	1567
14	22	1501
15	23	1475
16	24	1422
17	25	1372
18	25	1325
19	26	1281
20	26	1241
21	27	1208
22	27	1174
23	28	1145
24	28	1120
25	29	1096
26	29	1071
27	30	1051
28	30	1033
29	31	1011
30	31	993
31	32	977
32	32	963
33	33	950
34	34	942
35	34	933
36	35	926
37	36	918
38	36	903
39	37	894
40	37	885
41	38	877
42	39	870
43	39	861
44	40	853
45	40	844
46	41	836
47	41	828
48	42	819
49	42	813
50	43	806
51	43	798
52	44	792
53	44	785
54	45	779
55	45	773
56	46	768
57	46	763
58	47	758
59	48	755
60	48	752
61	49	749
62	50	745
63	50	741
64	51	736
65	51	732
66	52	727
67	52	723
68	53	716
69	53	712
70	54	708
71	54	705
72	55	701
73	55	698
74	56	691
75	56	688
76	57	684
77	57	680
78	58	677
79	58	674
80	59	670
81	59	667
82	60	664
83	60	661
84	61	658
85	61	655
86	62	653
87	62	650
88	63	648
89	63	646
90	64	644
91	65	645
92	66	644
93	66	643
94	67	640
95	67	638
96	68	635
97	68	633
98	69	631
99	70	630
100	70	628
101	71	626
102	71	623
103	72	621
104	72	618
105	72	614
106	73	612
107	73	609
108	74	607
109	74	603
110	75	601
111	75	599
112	76	600
113	77	598
114	77	597
115	78	595
116	78	594
117	79	593
118	80	593
119	80	592
120	81	589
121	81	587
122	82	586
123	82	584
124	83	583
125	83	581
126	84	579
127	84	578
128	85	576
129	85	575
130	86	573
131	86	571
132	87	570
133	87	568
134	88	566
135	89	565
136	89	564
137	90	564
138	90	563
139	91	562
140	92	560
141	92	560
142	93	558
143	93	557
144	94	557
145	95	556
146	95	555
147	96	554
148	96	553
149	97	552
150	98	551
151	98	550
152	99	548
153	99	547
154	100	547
155	100	544
156	101	543
157	101	542
158	102	540
159	102	539
160	103	538
161	103	537
162	104	536
163	105	535
164	105	534
165	106	533
166	106	532
167	107	531
168	107	530
169	108	529
170	109	528
171	109	528
172	110	528
173	111	527
174	111	526
175	112	525
176	112	524
177	113	523
178	113	521
179	114	520
180	114	519
181	115	517
182	115	517
183	116	515
184	116	514
185	117	514
186	118	513
187	118	513
188	119	512
189	119	510
190	120	509
191	120	508
192	121	507
193	121	506
194	122	505
195	122	504
196	123	503
197	123	502
198	124	501
199	125	500
200	125	500
201	126	499
202	127	498
203	127	498
204	128	497
205	128	496
206	129	495
207	129	494
208	130	493
209	130	492
210	131	491
211	132	491
212	132	490
213	133	489
214	133	488
215	134	487
216	134	486
217	135	485
218	135	484
219	136	483
220	137	483
221	137	482
222	138	481
223	138	480
224	139	479
225	139	479
226	140	479
227	141	478
228	141	477
229	142	476
230	142	475
231	143	474
232	143	473
233	144	472
234	145	472
235	145	471
236	146	472
237	147	471
238	147	470
239	148	469
240	148	468
241	149	467
242	149	466
243	150	465
244	150	464
245	151	463
246	151	462
247	152	461
248	152	461
249	153	460
250	153	459
251	154	458
252	155	458
253	155	457
254	156	457
255	157	456
256	160	465
257	161	464
258	161	463
259	162	462
260	162	461
261	163	460
262	163	459
263	164	458
264	165	457
265	165	456
266	166	455
267	166	455
268	167	454
269	167	453
270	168	452
271	168	451
272	169	450
273	169	449
274	170	449
275	171	448
276	171	448
277	172	447
278	172	446
279	173	445
280	173	444
281	174	443
282	174	442
283	175	442
284	175	441
285	176	440
286	176	439
287	177	438
288	177	437
289	178	436
290	178	436
291	179	435
292	180	434
293	180	433
294	181	432
295	181	432
296	182	431
297	182	430
298	183	429
299	183	428
300	184	427
301	184	427
302	185	426
303	186	425
304	186	425
305	187	424
306	187	424
307	188	423
308	189	423
309	189	422
310	190	422
311	191	422
312	192	421
313	192	420
314	193	420
315	193	419
316	194	418
317	194	417
318	195	416
319	195	415
320	196	414
321	196	414
322	197	413
323	197	412
324	198	411
325	198	410
326	199	410
327	199	409
328	200	409
329	201	408
330	201	408
331	202	407
332	202	406
333	203	405
334	203	404
335	204	404
336	205	403
337	205	402
338	206	402
339	206	401
340	207	400
341	207	399
342	208	399
343	209	398
344	209	397
345	210	397
346	210	396
347	211	395
348	211	395
349	212	394
350	212	393
351	213	392
352	213	392
353	214	391
354	214	390
355	215	390
356	216	389
357	217	389
358	217	388
359	218	388
360	218	387
361	219	386
362	219	385
363	220	384
364	221	385
365	221	384
366	222	383
367	222	382
368	223	382
369	223	381
370	224	380
371	224	379
372	225	378
373	225	378
374	226	377
375	226	376
376	227	375
377	228	375
378	228	374
